Field	Time	C7:X	C7:Y	C7:Z	CLAV:X	CLAV:Y	CLAV:Z	LANK:X	LANK:Y	LANK:Z	LBHD:X	LBHD:Y	LBHD:Z	LBWT:X	LBWT:Y	LBWT:Z	LELB:X	LELB:Y	LELB:Z	LFHD:X	LFHD:Y	LFHD:Z	LFIN:X	LFIN:Y	LFIN:Z	LFRM:X	LFRM:Y	LFRM:Z	LFWT:X	LFWT:Y	LFWT:Z	LHEE:X	LHEE:Y	LHEE:Z	LKNE:X	LKNE:Y	LKNE:Z	LMT5:X	LMT5:Y	LMT5:Z	LSHN:X	LSHN:Y	LSHN:Z	LSHO:X	LSHO:Y	LSHO:Z	LTHI:X	LTHI:Y	LTHI:Z	LTOE:X	LTOE:Y	LTOE:Z	LUPA:X	LUPA:Y	LUPA:Z	LWRA:X	LWRA:Y	LWRA:Z	LWRB:X	LWRB:Y	LWRB:Z	RANK:X	RANK:Y	RANK:Z	RBAC:X	RBAC:Y	RBAC:Z	RBHD:X	RBHD:Y	RBHD:Z	RBWT:X	RBWT:Y	RBWT:Z	RELB:X	RELB:Y	RELB:Z	RFHD:X	RFHD:Y	RFHD:Z	RFIN:X	RFIN:Y	RFIN:Z	RFRM:X	RFRM:Y	RFRM:Z	RFWT:X	RFWT:Y	RFWT:Z	RHEE:X	RHEE:Y	RHEE:Z	RKNE:X	RKNE:Y	RKNE:Z	RMT5:X	RMT5:Y	RMT5:Z	RSHN:X	RSHN:Y	RSHN:Z	RSHO:X	RSHO:Y	RSHO:Z	RTHI:X	RTHI:Y	RTHI:Z	RTOE:X	RTOE:Y	RTOE:Z	RUPA:X	RUPA:Y	RUPA:Z	RWRA:X	RWRA:Y	RWRA:Z	RWRB:X	RWRB:Y	RWRB:Z	STRN:X	STRN:Y	STRN:Z	T10:X	T10:Y	T10:Z
11	0.0833	60.955	-29.885	1430.6	45.446	137.88	1360	-69.559	-16.024	104.65	-32.1	55.493	1574.9	-42.148	-76.515	947.97	-246.86	-16.231	1141	-1.3397	174.62	1613.4	-331.1	118.92	718.06	-266.59	-25.917	1052.8	-75.279	113.1	948.74	-31.431	-86.357	28.906	-99.444	32.667	458.17	-104.6	83.987	37.304	-105.37	14.376	311.88	-86.048	40.035	1412.6	-131.6	85.945	720.33	-61.006	179.31	40.808	-212.8	7.9349	1248.1	-266.28	131.85	901.7	-354.5	33.492	897.52	144.89	-30.658	92.591	138.24	-90.736	1311.4	102.43	2.3186	1573	118.46	-74.661	942.4	353.05	-10.047	1133.2	131.34	177.81	1616.5	456.36	172.04	741.25	407.57	25.505	988.21	173.64	117.74	935.19	77.597	-89.448	35.398	181.52	48.279	453.06	195.08	76.928	36.377	172.92	15.664	271.44	194.2	60.594	1410.2	210.28	88.006	615.52	158.96	172.77	42.766	292.36	51.113	1325.7	391.23	163.28	923.75	456.1	61.521	877.22	42.457	170.34	1188.3	49.98	-102.07	1224.7
12	0.0917	60.697	-29.782	1430.3	45.342	137.93	1359.9	-69.766	-16.024	104.7	-32.203	55.545	1574.8	-42.148	-76.206	947.97	-247.06	-16.127	1140.9	-1.7003	174.83	1613.4	-331.21	119.13	717.96	-266.8	-25.608	1052.8	-75.382	113.15	948.84	-31.482	-86.357	28.751	-99.547	32.77	458.11	-104.65	83.884	37.098	-105.27	14.633	311.63	-86.099	40.087	1412.6	-131.7	86.202	720.12	-61.161	179.31	40.757	-213.06	8.038	1247.8	-266.39	132.06	901.65	-354.6	34.058	897.27	144.84	-30.658	92.437	138.09	-90.633	1311.4	102.28	2.4217	1572.8	118.41	-74.3	942.51	353.1	-9.8414	1133.3	131.18	177.71	1616.7	456.77	172.35	741.35	407.82	25.608	988.36	173.74	118.2	935.39	77.546	-89.397	35.295	181.78	48.331	453.06	195.08	77.031	36.429	173.02	15.767	271.44	194.15	60.697	1410.2	210.22	88.263	615.32	158.8	172.71	42.715	292.3	51.422	1325.6	391.28	163.39	923.96	456.46	61.625	877.53	42.199	170.81	1188.1	49.877	-101.56	1224.6
13	0.1000	60.491	-29.679	1430.2	45.136	138.09	1360	-69.766	-15.973	104.55	-32.255	55.493	1574.6	-42.199	-75.588	947.97	-247.22	-15.973	1140.9	-2.061	174.93	1613.3	-331.46	119.54	718.06	-266.95	-25.248	1052.9	-75.433	113.1	948.74	-31.534	-86.408	28.751	-99.65	32.873	458.06	-104.7	83.935	37.098	-105.42	14.942	311.57	-86.151	40.344	1412.6	-131.8	86.305	720.02	-61.315	179.41	40.757	-213.32	8.0895	1247.5	-266.44	132.27	901.34	-354.8	34.574	897.06	144.63	-30.812	92.282	138.09	-90.479	1311.5	102.07	2.4732	1572.7	118.35	-73.939	942.71	353.26	-9.5322	1133.3	131.08	177.66	1616.9	457.03	172.51	741.45	408.13	25.66	988.36	173.74	118.61	935.45	77.494	-89.294	35.398	181.94	48.382	453.06	195.02	77.031	36.274	173.02	15.767	271.44	193.99	60.749	1410.2	210.28	88.366	615.16	158.7	172.71	42.612	292.2	51.783	1325.6	391.39	163.44	923.96	456.77	61.779	877.79	41.993	171.12	1188.1	49.774	-101.25	1224.6
14	0.1083	60.336	-29.679	1430.1	44.879	138.29	1360.1	-69.766	-15.921	104.44	-32.255	55.441	1574.5	-42.199	-74.97	948.12	-247.32	-15.87	1140.9	-2.3702	174.88	1613.3	-331.82	119.95	718.27	-267.21	-24.99	1052.8	-75.536	113.25	948.48	-31.482	-86.46	28.803	-99.65	33.028	457.96	-104.7	84.244	37.201	-105.68	15.149	311.73	-86.305	40.499	1412.5	-131.91	86.357	720.07	-61.264	179.41	40.654	-213.47	8.1926	1247.4	-266.54	132.52	901.23	-355.01	34.831	897.16	144.58	-30.761	92.282	138.14	-90.376	1311.5	101.97	2.5248	1572.6	118.41	-73.785	942.76	353.31	-9.1715	1133.5	130.98	177.66	1617	457.03	172.51	741.61	408.34	25.711	988.31	173.69	119.02	935.55	77.443	-89.294	35.347	181.94	48.434	453.06	194.92	76.979	36.119	173.02	15.87	271.49	193.84	60.852	1410.3	210.38	88.418	615.11	158.75	172.77	42.509	292.05	52.041	1325.8	391.59	163.49	923.8	457.19	61.934	877.89	41.942	171.22	1188.1	49.671	-100.99	1224.5
15	0.1167	60.13	-29.576	1429.9	44.57	138.4	1360	-69.869	-15.87	104.55	-32.358	55.648	1574.6	-42.096	-74.661	948.12	-247.43	-15.612	1140.8	-2.6793	174.83	1613.4	-332.19	120.42	718.21	-267.68	-24.784	1052.4	-75.588	113.2	948.07	-31.431	-86.408	28.803	-99.702	33.182	457.8	-104.75	84.296	37.253	-105.83	15.303	311.73	-86.563	40.448	1412.4	-131.91	86.511	720.22	-61.109	179.41	40.551	-213.68	8.2441	1247.5	-266.59	132.73	901.28	-355.17	35.037	897.21	144.68	-30.658	92.334	138.04	-90.376	1311.5	101.87	2.5763	1572.6	118.46	-73.578	942.61	353.31	-9.017	1133.7	130.87	177.71	1617.1	457.03	172.4	741.71	408.55	25.917	988.52	173.69	119.33	935.76	77.494	-89.397	35.037	181.94	48.434	453.17	194.87	77.031	36.068	173.02	16.024	271.59	193.68	61.006	1410.3	210.33	88.675	615.06	158.8	172.77	42.406	292.05	52.144	1325.8	391.8	163.65	923.75	457.65	62.14	878.05	41.89	171.27	1188.1	49.568	-100.73	1224.3
16	0.1250	59.924	-29.37	1429.7	44.363	138.55	1360	-69.766	-15.818	104.49	-32.513	55.802	1574.6	-42.045	-74.454	947.92	-247.53	-15.303	1140.8	-2.8339	174.83	1613.5	-332.49	120.93	718.32	-268.04	-24.578	1052.3	-75.588	113.3	947.81	-31.431	-86.357	28.854	-99.65	33.389	457.96	-104.75	84.244	37.201	-105.88	15.458	311.73	-86.769	40.448	1412.4	-131.91	86.717	720.33	-61.058	179.41	40.499	-213.73	8.2956	1247.6	-266.7	132.99	901.34	-355.42	35.243	897.16	144.68	-30.709	92.231	137.93	-90.221	1311.5	101.81	2.6278	1572.6	118.51	-73.372	942.45	353.36	-8.8624	1133.9	130.67	177.76	1617.4	457.13	172.35	741.92	408.65	26.123	988.78	173.64	119.49	935.7	77.443	-89.397	34.986	181.94	48.486	453.12	194.77	77.031	36.171	173.07	15.973	271.59	193.58	61.264	1410.3	210.38	89.036	615.06	158.7	172.71	42.354	292.05	52.195	1325.7	392.01	163.85	923.8	457.96	62.397	878.36	41.787	171.32	1188.3	49.516	-100.53	1224.3
17	0.1333	59.77	-29.215	1429.7	44.312	138.55	1360	-69.353	-15.87	104.29	-32.564	55.699	1574.5	-41.993	-74.248	947.66	-247.68	-15.149	1140.7	-2.937	174.98	1613.5	-332.8	121.09	718.63	-268.14	-24.423	1052.4	-75.536	113.82	947.97	-31.534	-86.305	28.906	-99.599	33.543	458.06	-104.65	84.244	37.15	-105.63	15.509	311.88	-86.975	40.499	1412.4	-131.91	86.821	720.38	-61.058	179.41	40.551	-213.78	8.2956	1247.8	-266.85	133.25	901.39	-355.73	35.398	897.21	144.68	-30.761	92.179	137.93	-90.067	1311.6	101.71	2.7824	1572.5	118.51	-73.218	942.25	353.57	-8.6048	1134.2	130.51	177.71	1617.4	457.44	172.2	742.12	408.75	26.226	989.03	173.59	119.64	935.6	77.443	-89.294	35.14	181.89	48.537	453.01	194.82	77.082	36.377	173.18	15.973	271.44	193.48	61.418	1410.4	210.38	89.345	615.11	158.75	172.61	42.302	292	52.247	1325.7	392.26	163.95	924.01	458.42	63.016	878.61	41.684	171.48	1188.6	49.516	-100.47	1224.5
18	0.1417	59.77	-29.06	1429.8	44.157	138.55	1360.1	-68.632	-16.231	104.03	-32.616	55.699	1574.5	-41.89	-74.145	947.45	-247.94	-14.942	1140.5	-3.04	175.14	1613.5	-333.06	121.24	718.63	-268.19	-24.32	1052.4	-75.536	114.28	948.22	-31.534	-86.254	28.957	-99.547	33.646	458.11	-104.6	84.296	37.201	-105.37	15.406	311.99	-87.13	40.551	1412.4	-131.85	87.078	720.38	-61.109	179.41	40.705	-213.99	8.2956	1247.9	-266.95	133.5	901.34	-355.78	35.398	897.37	144.68	-30.812	92.231	137.93	-89.964	1311.6	101.66	2.8854	1572.5	118.51	-73.063	942.2	353.72	-8.3987	1134.4	130.36	177.76	1617.4	457.96	172.04	742.38	408.86	26.278	989.14	173.49	119.75	935.39	77.494	-89.242	35.347	181.94	48.537	452.96	195.02	77.082	36.583	173.23	16.024	271.49	193.27	61.625	1410.5	210.33	89.551	615.16	158.9	172.56	42.354	291.89	52.298	1325.7	392.52	164.11	924.16	458.89	63.479	878.77	41.581	171.58	1188.5	49.465	-100.47	1224.5
19	0.1500	59.821	-29.009	1429.9	43.951	138.55	1360.2	-68.684	-16.334	104.18	-32.719	55.802	1574.5	-41.839	-74.094	947.4	-248.04	-14.685	1140.4	-3.1431	175.24	1613.7	-333.22	121.55	718.58	-268.29	-24.217	1052.5	-75.639	114.44	948.43	-31.431	-86.254	28.957	-99.496	33.646	458.27	-104.55	84.399	37.304	-105.37	15.406	312.14	-87.284	40.705	1412.6	-131.85	87.284	720.17	-61.109	179.41	40.757	-214.14	8.2956	1247.9	-267.11	133.71	901.23	-355.89	35.347	897.63	144.63	-30.812	92.282	137.93	-89.757	1311.5	101.56	2.8854	1572.6	118.61	-73.012	942.2	353.77	-8.2956	1134.5	130.05	177.92	1617.7	458.58	171.94	742.59	408.86	26.278	989.19	173.43	119.8	935.19	77.546	-89.242	35.553	181.94	48.64	452.96	195.18	77.082	36.686	173.07	16.127	271.54	193.12	61.882	1410.5	210.38	89.654	615.21	158.9	172.56	42.56	291.74	52.298	1325.8	392.68	164.26	924.27	458.89	63.479	878.87	41.53	171.63	1188.5	49.516	-100.42	1224.5
20	0.1583	59.873	-28.957	1430	43.951	138.71	1360.3	-69.405	-16.024	104.75	-32.925	55.854	1574.7	-41.787	-73.939	947.4	-248.1	-14.53	1140.4	-3.4007	175.29	1613.8	-333.58	121.86	718.63	-268.4	-24.217	1052.5	-75.794	114.44	948.38	-31.328	-86.254	28.957	-99.496	33.646	458.42	-104.55	84.45	37.408	-105.32	15.458	312.35	-87.49	40.963	1412.6	-131.8	87.336	719.97	-61.058	179.46	40.757	-214.19	8.5017	1247.9	-267.31	133.91	901.08	-356.04	35.398	897.73	144.63	-30.761	92.282	137.88	-89.603	1311.3	101.35	2.8854	1572.6	118.66	-72.909	942.14	353.72	-8.3471	1134.8	129.74	178.07	1618	458.99	172.04	742.69	408.96	26.433	989.44	173.49	119.95	935.09	77.649	-89.242	35.604	181.89	48.795	453.01	195.23	77.082	36.532	172.97	16.231	271.54	193.01	62.088	1410.5	210.48	89.757	615.27	158.9	172.66	42.663	291.58	52.195	1325.9	392.73	164.42	924.52	459.45	63.943	879.03	41.581	171.89	1188.6	49.465	-100.17	1224.4
21	0.1667	59.718	-28.957	1430	44.054	139.02	1360.3	-69.663	-15.664	105.01	-33.234	55.802	1574.8	-41.89	-73.836	947.25	-248.1	-14.53	1140.5	-3.7098	175.34	1613.8	-333.94	122.06	718.63	-268.4	-24.165	1052.4	-75.846	114.64	948.22	-31.224	-86.254	29.06	-99.393	33.595	458.68	-104.49	84.399	37.459	-105.27	15.458	312.35	-87.645	41.117	1412.6	-131.75	87.387	720.02	-61.006	179.46	40.808	-214.24	8.6048	1247.9	-267.52	134.12	900.92	-356.25	35.656	897.63	144.58	-30.761	92.231	137.83	-89.551	1311.4	101.2	2.9885	1572.5	118.77	-72.806	942.2	353.67	-8.3471	1135	129.64	178.07	1618.2	459.2	172.25	742.79	408.91	26.69	989.96	173.49	120.26	935.19	77.752	-89.242	35.553	181.89	48.898	453.01	195.23	76.979	36.429	173.02	16.231	271.49	192.96	62.243	1410.5	210.53	90.015	615.21	159.01	172.87	42.663	291.48	52.298	1326	392.88	164.37	924.73	459.71	64.046	879.03	41.478	172.2	1188.7	49.31	-99.856	1224.2
22	0.1750	59.615	-28.854	1430.1	43.9	139.12	1360.4	-69.611	-15.612	105.01	-33.543	55.699	1574.9	-42.148	-73.63	947.14	-248.04	-14.633	1140.6	-4.1736	175.19	1613.9	-334.14	122.12	718.68	-268.45	-24.114	1052.3	-75.691	114.95	948.12	-31.121	-86.305	29.112	-99.341	33.646	458.78	-104.44	84.399	37.511	-105.22	15.406	312.35	-87.8	41.22	1412.7	-131.7	87.542	720.07	-60.955	179.51	40.86	-214.29	8.6048	1247.9	-267.62	134.38	900.98	-356.35	35.81	897.47	144.63	-30.864	92.179	137.68	-89.448	1311.5	100.99	3.04	1572.6	118.77	-72.703	942.25	353.62	-8.2441	1135.2	129.59	178.12	1618.2	459.45	172.1	742.84	408.75	26.845	990.42	173.38	120.57	935.39	77.752	-89.294	35.604	181.78	49.052	452.96	195.28	76.928	36.429	173.18	16.231	271.44	192.76	62.346	1410.4	210.69	90.376	615.16	159.01	172.97	42.663	291.33	52.401	1326.1	392.93	164.26	924.88	458.83	62.861	878.61	41.427	172.46	1188.7	49.207	-99.702	1224.2
